Fac,B_A,Date,MAE,OBR,Care Level
R1,After,Nov-18,0,1502,Rest Home 
R1,After,Dec-18,2,1545,Rest Home 
R2,Before,Jan-16,0,1254,Rest Home 
R2,Before,Feb-16,1,1310,Rest Home 
R2,Before,Mar-16,0,1287,Rest Home 
R2,Before,Apr-16,0,1219,Rest Home 
R2,Before,May-16,1,1260,Rest Home 
R2,Before,Jun-16,1,1340,Rest Home 
R2,Before,Jul-16,0,1290,Rest Home 
R2,Before,Aug-16,3,1344,Rest Home 
R2,Before,Sep-16,3,1421,Rest Home 
R2,Before,Oct-16,0,1527,Rest Home 
R2,Before,Nov-16,0,1437,Rest Home 
R2,Before,Dec-16,0,1410,Rest Home 
R2,Before,Jan-17,5,1440,Rest Home 
R2,Before,Feb-17,4,1278,Rest Home 
R2,Before,Mar-17,0,1285,Rest Home 
R2,Before,Apr-17,1,1215,Rest Home 
R2,Before,May-17,2,1301,Rest Home 
R2,Before,Jun-17,3,1416,Rest Home 
R2,Before,Jul-17,0,1526,Rest Home 
R2,After,Nov-17,3,1462,Rest Home 
R2,After,Dec-17,0,1498,Rest Home 
R2,After,Jan-18,2,1519,Rest Home 
R2,After,Feb-18,0,1388,Rest Home 
R2,After,Mar-18,0,1486,Rest Home 
R2,After,Apr-18,0,1413,Rest Home 
R2,After,May-18,0,1433,Rest Home 
R2,After,Jun-18,0,1402,Rest Home 
R2,After,Jul-18,0,1478,Rest Home 
R2,After,Aug-18,1,1424,Rest Home 
R2,After,Sep-18,2,1369,Rest Home 
R2,After,Oct-18,1,1316,Rest Home 
R2,After,Nov-18,0,1282,Rest Home 
R2,After,Dec-18,1,1390,Rest Home 
I1,Before,Jan-16,1,1066,Intellectual
I1,Before,Feb-16,1,1037,Intellectual
I1,Before,Mar-16,0,1162,Intellectual
I1,Before,Apr-16,0,1123,Intellectual
I1,Before,May-16,0,1189,Intellectual
I1,Before,Jun-16,2,1054,Intellectual
I1,Before,Jul-16,0,1240,Intellectual
I1,Before,Aug-16,0,1237,Intellectual
I1,Before,Sep-16,2,1158,Intellectual
I1,Before,Oct-16,1,1194,Intellectual
I1,Before,Nov-16,0,1194,Intellectual
I1,Before,Dec-16,1,1173,Intellectual
I1,Before,Jan-17,1,1145,Intellectual
I1,Before,Feb-17,1,1051,Intellectual
I1,Before,Mar-17,1,1190,Intellectual
I1,Before,Apr-17,0,1170,Intellectual
I1,Before,May-17,3,1185,Intellectual
I1,Before,Jun-17,1,1120,Intellectual
I1,Before,Jul-17,0,1204,Intellectual
I1,Before,Aug-17,2,1206,Intellectual
I1,After,Dec-17,1,1164,Intellectual
I1,After,Jan-18,0,1128,Intellectual
I1,After,Feb-18,2,1019,Intellectual
I1,After,Mar-18,7,1158,Intellectual
I1,After,Apr-18,25,1098,Intellectual
I1,After,May-18,1,1111,Intellectual
I1,After,Jun-18,1,1083,Intellectual
I1,After,Jul-18,0,1126,Intellectual
I1,After,Aug-18,0,1123,Intellectual
I1,After,Sep-18,1,1092,Intellectual
I1,After,Oct-18,2,1109,Intellectual
I1,After,Nov-18,0,1003,Intellectual
I1,After,Dec-18,1,906,Intellectual
